Experience (Buckets)	How many years have you been doing data visualization?	What is your educational background?	What was your major?	Did you learn how to do data visualization in school or did you learn how to do it on your own?	What method do you think best teaches data visualization?	Did you set out to work in data visualization?	Is this your first job where data visualization is a part of your responsibilities?	What is your official job title?	Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?	What focus is data visualization in your work?	For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?	Do you do more or less data visualization than you expected for this role?	What's your employment status	How is your organization using data visualization?	Is there a separate group that does data visualizations or are you embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)	What modes of data visualization are in use at your organization?	Do you feel the leadership in your organization has a strong understanding of the value of data visualization?	Data visualization roles at your organization are found in what part of the organization?	How many hours a day are focused on creating/implementing/productizing data visualizations?	How many hours a day are focused on data engineering?	How many hours a day are focused on data science?	How many hours a day are focused on design?	How many hours a day are focused on data prep work?	How many hours a day are focused on building your portfolio?	What technologies do you use to visualize data?	Are you able to choose your own tools or are the choices made for you?	How do you present your data visualizations?	Which of these charts have you used in production in the last 6 months:	Who do you make data visualizations for?	What knowledge level do they have of the data you are visualizing for them?	How often do they consume your data visualizations?	What do they use your data visualizations for?	How would you describe your relationship with stakeholders?	I have adequate resources to explore the data visualization options I want to use. 	I aspire to be better at: 	What is your biggest frustration with doing data visualization in your job?	If you could change one thing about your data visualization work what would it be?	What do you think other people in your organization just don’t get about the data visualization work that you do?	I want to make better visualizations but don’t have the time/energy/resources.	I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.	What one change would make the data visualization aspect of your job better?	What community support / discussions / advice would you want to see from data visualization thought leaders?	Who do you look to as a thought leader in data visualization?	Do you want to spend more time or less time visualizing data in the future?	Gender	Age	Where do you live?	The organization you work for is in which of the following?
10+	10	PhD	Computer Science	Equal Parts School and Self-Taught	Books	Intended to work in data visualization	No	Professor	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Academia						0	0	0	1	0	0	Cytoscape, D3, Excel, ggplot, R, Tableau, WebGL	I'm able to choose my own tools.	Embedded in a tool, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Dendrogram, Network Diagram, Choropleth Map	Analysts, Scientists	Expert	Weekly	Journalism, Research	Collaborative	5	The design side of data visualization				1	3				Same	Female	46-55	Canada	Academic
10+	10	PhD	Computer Graphics and Data mining	Equal Parts School and Self-Taught	Examples	Intended to work in data visualization	No	Manager of Visualization Lab	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication	Separate data visualization group	Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code)	No	Marketing, Research, IT, Data Science/Analytics	3	4	2	1	1	0.5	D3, ggplot, Highcharts, Leaflet, Mapbox, Plotly, Python, QGIS, React, Vega, Vue, WebGL	I'm able to choose my own tools.	Static Web Page	Line Chart, Bar Chart, Pie Chart, Dendrogram, Raster Map	Scientists, Executives	Intro, Moderate	Monthly	Analysis, Summarization, Research	Collaborative	3	The data side of data visualization	Workflows resulting in data visualizations can be perceived as simple, while they are not.	Better integrate data science and analysis with data visualizations	The impact. In a meritocratic environment, it is hard to justify resources needed to run a successful Data Visualization group. Impacts are often in-tangible and hard to communicate to decision makers.	4	5	Getting the Data visualization tools to the end-users quickly. Data Vis is not a scalable field - you cannot deal with 100's of customers.	Best-practices, but also how to scale your data vis services ?		Less	Male	36-45	Middle East	Academic
10+	10	PhD	Botany	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Bioinformatician	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Research Scientist and Consultant	Analysis	Embedded in another group	Programming	Don't Know	Data Science/Analytics	4	2	2	1	1	0	D3, Java, R	I'm able to choose my own tools.	Dynamic web pages and dedicated applications	Line Chart, Bar Chart, Pie Chart, Hexbin/Heatmap, Infographics, Pictorial Visualization, Dendrogram, Network Diagram, Choropleth Map, 3D Charts	Scientists	Moderate	Weekly	Research	Collaborative	3	The data side of data visualization	Data quality	Improve my programming skills	They treat it as add on rather than reliance its fundamental importance	3	5	Improve my skill base			More	Male	56+	Scotland	Academic
10+	10	Masters	Sociology	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Manager of Strategic Research	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Exploration	Both	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	Yes	Research	3	0	0	1	4	0	Excel, Tableau	I'm able to choose my own tools.	Dashboard, Documents, Presentations, Email	Line Chart, Bar Chart	Executives	Moderate	Weekly	Education, Research	Collaborative	4	The design side of data visualization	Data prep	Connect to more live data versus static	It’s only as good as the data behind it. 	4	3				Much more	Female	36-45	Massachusetts	Academic
10+	10	PhD	Psychology	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Professor	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role		Analysis, Machine Learning, Summary/Overview, Communication	Embedded in another group	Completely custom (Processing, D3, custom code)	Don't Know	Research	1	0	4	0	2	0	ggplot, Leaflet, R	I'm able to choose my own tools.	Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Dendrogram	Scientists	Moderate	Weekly	Analysis, Education, Research	Collaborative	4	The data side of data visualization				3	4				Same	Female	36-45		Academic
10+	10	PhD	Forest Ecology	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	No	Research Coodinator	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Hired to do data visualization	Less	Employee at University	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Notebooks, General charting libraries (highcharts, recharts), Excel/PowerPoint	No	Research, Data Science/Analytics	2	0.5	0.5	2	2		ArcGIS, Excel, Gephi, Illustrator, Raw	I'm able to choose my own tools.	Documents, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Pictorial Visualization, Treemap, Dendrogram, Network Diagram, Choropleth Map, Flow Diagram	Scientists, Project Managers	Moderate	Weekly	Analysis, Summarization, Research, PR/Branding	Subordinate	3	The design side of data visualization	Data provided is of poor quality	More creative freedom	They are stuck in  standard scientific graphs and do not understand visual hierarchies	5	4	More time			Much more	Female	46-55	Finland	Academic
10+	10	PhD	Statistics	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Data Analyst	Data Visualization Role has Lower compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	Less	Employee at a public university, not in an academic role	Analysis, Communication, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, R/ggplot2	No	Data Science/Analytics	1	4	1	0	4	0	ggplot, R, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Documents	Line Chart, Bar Chart, Scatterplot	General Public, Executives	Intro	Weekly	Analysis, Summarization	Subordinate	3	The design side of data visualization				5	2				More	Male	36-45	Montana	Academic
10+	10	PhD	Higher Education Policy	Mostly Self-Taught	Workshops	Ended up doing data visualization as a requirement of the job	No	Director of Research & Policy Analysis	Data Visualization Role has Lower compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint	Yes	Marketing, Research, Data Science/Analytics, Institutional Research	1	0	0	0.5	2	0	Excel, ggplot, R, Tableau	I'm able to choose my own tools.	Documents, Presentations, Email	Line Chart, Bar Chart, Scatterplot, Choropleth Map	General Public, Analysts, Executives, university faculty, student groups	Moderate	Weekly	Analysis, Summarization, Decision making	Consultative	3	The design side of data visualization	Too many other things competing for my time...operational duties mostly	Better design, stronger knowledge of software tools	That the end product takes a significant amount of time, especially in data wrangling and cleaning. It's not just loading a dataset and coming up with insights. It takes a lot of time.	5	5	More time to focus on it, both the doing and the learning of techniques/software	Code-thru examples, tutorials in the vein of the rstats community	Elijah Meeks, Mike Bostock, Edward Tufte	Much more	Male	46-55	California	Academic
10+	10	Bachelors	Fine Arts	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Infographics Lead	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Consultant/Contractor/Freelancer						6	0	0	8	2	8	D3, Illustrator, Plotly, QGIS, Tableau	I'm able to choose my own tools.	Static Web Page, Video	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Pictorial Visualization, Choropleth Map, Flow Diagram	General Public	Intro	Daily	Journalism, Summarization, Education, PR/Branding	Collaborative	3	The data side of data visualization	No real support team or infrastructure on the data or development side	To get a better command of the data analysis and programming. 	It's value.	5	5	Getting a better command of data and programming tools	Best practices, practical examples, recommendations about resources and best tools to focus on	Alberto Cairo, Scott Murray, Mike Bostock	More	Male	46-55	New York	Journalism
10+	10	PhD	Chemistry	Mostly Self-Taught	Examples	Intended to work in data visualization	No	Data Editor	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Communication, Exploration	Embedded in another group	Notebooks, Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)	No	Journalism	3	1	1	1	2		D3, ggplot, Illustrator, Mapbox, Plotly, Python, R, React, Semiotic, Vega, WebGL, Svelte, Haskell	I'm able to choose my own tools.	Scrollytelling, Static Web Page, Documents, In news articles	Line Chart, Bar Chart, Scatterplot, Infographics, Pictorial Visualization, Treemap, Raster Map	General Public	Intro	Hourly	Journalism	Consultative	5	The design side of data visualization	Working in javascript	Include a designer in our team	Can be regarded solely as a means of increasing engagement metrics rather than for the understanding it can bring	3	5		I would like to see more of the older body of scientific Visualization knowledge/literature being discussed and revisited for web/infovis style Visualizations.	Elijah Meeks, Susie Lu, Nadiah Bremer, Andy Kirk, Enrico Bertini, Moritz Stefaner	Same	Male	36-45	New Zealand	Journalism
10+	10	Masters	Medicine	Mostly Self-Taught	Examples	Intended to work in data visualization	Yes	Developer	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Data visualization is only part of my job	Less	Employee at a Company	news article	Separate data visualization group	Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code)	No	Design, Engineering	2	2	0		2	0	D3, Excel, ggplot, Leaflet, Mapbox, Plotly, Python, React, Vue, WebGL	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Scrollytelling, Static Web Page	Line Chart, Bar Chart, Scatterplot, Flow Diagram	subscriber	Intro	Hourly	Journalism	Collaborative	4	The data side of data visualization	Setting purpose of visualization	Emphasize the quality of vis rather than the quantity		2	3	Understanding the difficulty of the data vis	How to communicate with those who is not interested with data vis yet.	Mike Bostock	More	Male	26-35	Japan	Journalism
10+	10	Other	Comp Sci and Art	Equal Parts School and Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	No	Deputy Director of Graphics	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Communication, Exploration	Separate data visualization group	Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)	Yes	Design, Leadership	40	40		40	40		ArcGIS, D3, Angular, Excel, ggplot, Illustrator, Mapbox, Plotly, Python, QGIS, R, React, WebGL	I'm able to choose my own tools.	Scrollytelling, Static Web Page	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Treemap, Choropleth Map, Raster Map, Flow Diagram	General Public	Moderate	Hourly	Journalism, Analysis	Collaborative	5	The data side of data visualization				2	4				Same	Male	26-35	Washington, DC	Journalism
10+	10	Technical School	Art	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Graphics director	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Communication	Separate data visualization group	Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design	6	0	0	2	1		ArcGIS, D3, Excel, Gephi, Illustrator, Java, Leaflet, QGIS	I'm able to choose my own tools.	Static Web Page, Documents	Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics, Pictorial Visualization, Treemap, Dendrogram, Choropleth Map, Raster Map, Flow Diagram, 3D Charts	General Public	Moderate	Monthly	Journalism, PR/Branding	Collaborative	4	The design side of data visualization				4	5				Same	Male	36-45	New York 	Journalism
