Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What methods do you think best teach data visualization?,What area is your next priority for improving your data visualization skills?,Are you a freelancer/consultant?,What focus is data visualization in your work?,For the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,Do you do more or less data visualization than you expected for this role?,Which one of these is the closest to describing your role?,What is your yearly pay?,What is your hourly rate?,How is your organization using data visualization? Select all that apply.,"Is there a separate group dedicated to creating data visualization or are data visualization specialists embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)",What modes of data visualization are in use at your organization? Select all that apply.,Leadership in your organization has a strong understanding of the value of data visualization.,Data visualization at your organization features prominently in what parts of the organization? Select all that apply.,Hours a week focused on creating/implementing/productizing data visualizations?,Hours a week focused on data engineering?,Hours a week focused on data science?,Hours a week focused on design?,Hours a week focused on data prep work?,Hours a week focused on building your portfolio?,What technologies do you use to visualize data? Select all that apply.,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations? Select all that apply.,Which of these charts have you used in production in the last 6 months? Select all that apply.,Who do you make data visualizations for? Select all that apply.,What knowledge level does your audience have of the data you are visualizing for them? Select all that apply.,"Most typically, how often does your audience use your data visualization?",What does your audience use your data visualization for? Select all that apply.,How would you describe your relationship with stakeholders?,I have adequate resources to explore the data visualization options I want to use. ,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,I want to make better visualizations but don’t have the time/energy/resources.,I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.,My skills hold me back much more than my tools do.,What one change would make the data visualization aspect of your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,How many years of experience do you have doing professional data visualization?,What is your educational background,The organization you work for is in which of the following areas?,"If you went to college, what did you major in during your undergraduate work?",What's your gender identity?,Do you consider yourself a member of the LGBTQ+ community? ,What city do you live in?,What country do you live in?,What non-programming languages do you use regularly?
Equal Parts School and Self-Taught,"Workshops, Examples, Working through a project, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Designer,$40k - $60k,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",6,"Design, Marketing, Research, Data Science/Analytics",20,5,5,10,5,2,"ArcGIS, D3, Excel, Illustrator, Java, Leaflet, Mapbox, Plotly, Power BI, Python, Tableau, Vega, Pen & Paper, Other physical materials, Matplotlib",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Scrollytelling, Static Web Page, Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Infographics, Treemap, Dendrogram, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart), Force-Directed Graph","Designers, Architects","Intro, Moderate, Expert",Weekly,"Analysis, Summarization, client meetings",Consultative,4,,,,3,3,5,more time to learn new tools,an AMA? small coding challenges? live video walkthroughs ,,More,2,Masters,Private sector,Technical Theatre,Woman,"No, but I identify as an Ally",Chicago,USA,
Equal Parts School and Self-Taught,"Books, Working through a project",Learning a new technical tool or library,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Designer,$80k - $100k,,"Analysis, Communication",Both,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5,Data Science/Analytics,14,0,0,14,2,0,"Excel, Illustrator, Microstrategy, R, Tableau, Pen & Paper",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Embedded in a tool, Dashboard, Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Choropleth Map, Raster Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","Analysts, Medical Professionals, Executives","Moderate, Expert",Monthly,"Analysis, Summarization",Subordinate,2,"Technological limitations with tools, and access to users for both initial research and later testing and feedback",Use more technically advanced tools (higher customizability),Communicating data can take many different forms and should be involved earlier on in the process,3,3,4,Stronger technical/implementation skills,How to keep up to date on academic research,Alberto Cairo,More,3,Masters,Public sector,Life Sciences,Woman,No,Toronto,Canada,English
Equal Parts School and Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my data skills,No,Data visualization is the focus of my job,Hired to do data visualization,Less,Designer,"Less than $20,000",,"Analysis, Exploration, Storytelling",Separate data visualization group,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7,"Design, Data Science/Analytics",20,,0,10,7,0,"Tableau, Vega, Pen & Paper, P5/Processing",,,"Line Chart, Bar Chart, Pie Chart, Hexbin/Heatmap, Pictorial Visualization, Treemap, Dendrogram","Analysts, Engineers, Designers",Intro,Not tracked / Unknown,"Analysis, Summarization, PR/Branding",Collaborative,2,Convince people about why I used a particular type of chart,Spend more time on trying more data viz techniques,They think it's just charts with fancy colours,3,3,4,,,Giorgia Lupi,Much more,0.5,Masters,Private sector,,Woman,No,Bangalore,India,
Mostly Self-Taught,"Workshops, Examples, Working through a project",Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$40k - $60k,$22.00,"Analysis, Summary/Overview, Exploration, Storytelling",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),5,Data Science/Analytics,5,2,7.5,7.5,15,2,"Excel, Power BI, Tableau",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Dashboard, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics","Executives, Business Partners",Moderate,Monthly,"Analysis, Summarization",Collaborative,2,Tools,Better tools and training,The time it takes to explore before getting to the explain,4,4,3,More time to learn,,,Much more,,Higher education none degree,Private sector,Design,Woman,"No, but I identify as an Ally",Manchester,United Kingdom,
Mostly Self-Taught,Examples,Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$100k - $120k,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Interactive Notebooks",5,"Marketing, Leadership, Data Science/Analytics",20,10,5,5,5,0,"Tableau, Data Studio",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Dashboard, Interactive Notebook, Presentations, Slack","Line Chart, Bar Chart, Scatterplot, Network Diagram, Flow Diagram (Sankey, DAGRE, Flow Chart)","Analysts, Project Managers, Executives, Marketing Team","Intro, Moderate, Expert",Daily,"Analysis, Summarization",Consultative,5,Cleaning and prepping data ,"Higher quality network and flow visualization (limited by tools, usually)",The thought that goes behind design decisions ,4,5,1,Wider variety of skills or tools ,,,More,5,Masters,Private sector,Behavioural Science,Woman,Yes,Perth,Australia,
Mostly Self-Taught,"Books, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Learning a new technical tool or library,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Analyst,$100k - $120k,$52.00,"Analysis, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education",Both,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",6,"Research, IT, Data Science/Analytics",30,5,5,3,20,0,"Excel, Mapbox, Tableau, Other physical materials",I'm able to choose my own tools.,"Dashboard, Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Treemap, Flow Diagram (Sankey, DAGRE, Flow Chart)","Analysts, Executives",Expert,Weekly,"Analysis, Summarization",Collaborative,4,i'm still learning the domain that i'm visualizing,have more time to learn,how hard it is to make it look easy,4,5,3,simplifying the workflow between IT and Analysts,best practices generally,,Much more,8,Bachelors,Academic,Linguistics,Woman,Yes,Berkeley,USA,English
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners",Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,Less,Analyst,$40k - $60k,,Analysis,There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),3,Data Science/Analytics,4,0,2,,20,0,"Excel, Power BI, Qlik",We have a set list of tools we're expected to use for data visualization and this causes major issues,"Dashboard, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Infographics, Treemap, Sankey","Executives, Academics",Intro,Monthly,"Analysis, Summarization",Consultative,3,I want to use Power BI but my manager does not,Do more in Power BI and roll out across organisation,That is is vital in telling a story,5,2,1,Freedom in choice of tools that the company already has access to,,David McCandless,Much more,3,PhD,Academic,Fashion Management,Woman,No,Southampton,United Kingdom,
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Working through a project",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Analyst,$60k - $80k,,"Analysis, Summary/Overview, Storytelling",Embedded in another group,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,Data Science/Analytics,10,0,0,2,3,3,"Excel, Python, R, Tableau",I'm able to choose my own tools.,"Dashboard, Scrollytelling, Static Web Page","Line Chart, Bar Chart, Pie Chart","General Public, Executives","Intro, Moderate",Not tracked / Unknown,"Summarization, Education",Consultative,3,not enough time to learn the tools I want to use,More complex financial analysis,the time it takes,5,5,5,Gaining skills with the tools,"Training and examples, especially in academic/nonprofit/nontraditional industries.",Andy Cotgreave,Much more,2,Bachelors,Academic,Humanities,Woman,"No, but I identify as an Ally","San Jose, CA",USA,
Mostly Self-Taught,"Books, Workshops, Examples, Working through a project",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,Less,Student,"Less than $20,000",,"Analysis, Summary/Overview, Exploration, Education",There are no specialists in data visualization in my organization,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Excel",2,"Research, Data Science/Analytics",,,,,,,Excel,We have a set list of tools we're expected to use for data visualization and this causes major issues,"Documents, Presentations","Line Chart, Bar Chart, Pie Chart","Scientists, Medical Professionals, Policy makers",Intro,Not tracked / Unknown,"Analysis, Education",Subordinate,1,Audience doesn't understand Anything more complex than bar charts,Use ggplot instead of just excel ,The possibilities!,5,3,1,Use other tools than excel,,,Much more,1,Masters,Public sector,Medicine ,Woman,Yes,Stockholm ,Sweden,"Swedish, English "
Mostly Self-Taught,"Examples, Video Tutorials, Collaboration with more skilled practitioners",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,Engineer,$40k - $60k,$15.00,"Analysis, Machine Learning, Summary/Overview, Communication",Embedded in another group,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator)",5,IT,6,6,4,4,6,0,"Excel, Illustrator, Plotly, Power BI, R, Web Components, Canvas, Flourish",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Scrollytelling, Documents, Presentations, Email","Line Chart, Bar Chart, Pie Chart, Infographics, Treemap, 3D Charts, VR/AR Charts, Box whisker9","Engineers, Project Managers, Executives",Moderate,Hourly,Analysis,Consultative,2,They don't always make decisions based in data ,I would create a team,"Data talk, and before",2,3,3,Working in team,,,More,10,Maths graduate ,Public sector,,Woman,No,Rome,Italy,
Mostly Self-Taught,"Books, Workshops, Examples, Collaboration with more skilled practitioners",Improving my data skills,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,None of these describe my role,$60k - $80k,,"Analysis, Summary/Overview, Communication, Exploration, Storytelling",Both,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7,"Design, Research, Leadership, Data Science/Analytics",40,0,10,25,5,0,"D3, Excel, ggplot2, Illustrator, Mapbox, QGIS, R, Web Components, Pen & Paper, Vanilla Javascript",I'm able to choose my own tools.,"Scrollytelling, Non-scrollytelling websites","Bar Chart, Scatterplot, Hexbin/Heatmap, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart), Swarm Chart",General Public,Intro,Monthly,"Entertainment, Journalism, Summarization, Education",Collaborative,5,Sometimes the dat you need/want doesn't exist,,,2,3,1,,Less tool-focused,,Same,4,Some j-school + workshops,Journalism,Journalism,Woman,Yes,San Antonio,USA,English
